Country,Date Program/ Agency Established,Satellites Currently in Orbit/GSO,Moon Treaty Participant,Moon Treaty Participant Numeric,Space Travelling Astronauts,Outer Space Treaty Signatory,Outer Space Treaty Signatory Numeric,OST Date of Signature 1,OST Date of Signature,OST Year of Signature,OST Consent to be bound,OST Consent to be Bound Year,National Space Agency or Program,National Space Agency or Program Numeric,Name of Space Agency or Program,Artemis Accords Signatory,Artemis Accords Signatory Numeric
Mongolia,,12,No,0,1,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Montenegro,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Morocco,,5,Yes,1,0,Yes,1.00,#N/A,#N/A,#N/A,"December 22, 1967",1967,No,0,N/A,No,0
Mozambique,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Myanmar,,0,No,0,0,Yes,1.00,05-22-1967,"May 22, 1967",1967,"March 18, 1970",1970,No,0,N/A,No,0
Namibia,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Nauru,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Nepal,,0,No,0,0,Yes,1.00,02-03-1967,"February 3, 1967",1967,"November 22, 1967",1967,No,0,N/A,No,0
Netherlands,,14,Yes,1,2,Yes,1.00,02-10-1967,"February 10, 1967",1967,"October 10, 1969",1969,Yes,1,Netherlands Space Office,Yes,1
New Caledonia,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
New Zealand,,1,No,0,0,Yes,1.00,01-27-1967,"January 27, 1967",1967,"May 31, 1968",1968,Yes,1,New Zealand Space Agency (NZSA),Yes,1
Nicaragua,,0,No,0,0,Yes,1.00,01-27-1967,"January 27, 1967",1967,"June 30, 2017",2017,No,0,N/A,No,0
Niger,,0,No,0,0,Yes,1.00,02-01-1967,"February 1, 1967",1967,"May 3, 1967",1967,No,0,N/A,No,0
Nigeria,,3,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,Yes,1
Niue,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Norfolk Island,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
North Korea,,1,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
North Macedonia,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Norway,,23,No,0,0,Yes,1.00,02-03-1967,"February 3, 1967",1967,"July 1, 1969",1969,Yes,1,Norwegian Space Agency,Yes,1
Oman,,1,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
Pakistan,,8,Yes,1,0,Yes,1.00,09-12-1967,"September 12, 1967",1967,"April 8, 1968",1968,Yes,1,Pakistan Space and Upper Atmosphere Research Commission (SUPARCO),No,0
Palau,,0,No,0,0,No,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,No,0,N/A,No,0
